business_name,inspection_score,business_latitude,inspection_type,business_city,risk_category,business_location,business_phone_number,inspection_id,business_id,business_address,inspection_date,violation_description,violation_id,business_longitude,business_state,business_postal_code
Walgreens #5618,96,37.791235,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.791235, -122.400646)",,68288_20170109,68288,100 Sansome St,2017-01-09 00:00:00,Moderate risk vermin infestation,68288_20170109_103131,-122.400646,CA,94104
Moolicious Cafe and Crepe,98,37.790415,Routine - Unscheduled,San Francisco,Low Risk,"(37.790415, -122.400615)",,68766_20170109,68766,1 Sansome St #105,2017-01-09 00:00:00,Improper storage of equipment utensils or linens,68766_20170109_103145,-122.400615,CA,94104
Mint,88,37.778492,Routine - Unscheduled,San Francisco,Low Risk,"(37.778492, -122.418291)",,64745_20170106,64745,1 Dr Carlton B. Goodlett Pl Basement,2017-01-06 00:00:00,Low risk vermin infestation,64745_20170106_103161,-122.418291,CA,94102
Potrero Shell,90,37.752974,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.752974, -122.38796)",,62780_20170106,62780,2890 03rd St,2017-01-06 00:00:00,Moderate risk food holding temperature,62780_20170106_103120,-122.38796,CA,94107
Pat's Cafe,88,37.803947,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.803947, -122.414927)",,1852_20170106,1852,2330 Taylor St,2017-01-06 00:00:00,Moderate risk food holding temperature,1852_20170106_103120,-122.414927,CA,94133
Mission Martco,96,37.716782,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.716782, -122.440816)",,59016_20170106,59016,5098 MISSION St,2017-01-06 00:00:00,Inadequately cleaned or sanitized food contact surfaces,59016_20170106_103124,-122.440816,CA,94112
Azalina's,94,,Routine - Unscheduled,San Francisco,Low Risk,,,80659_20170106,80659,1355 Market St,2017-01-06 00:00:00,Food safety certificate or food handler card not available,80659_20170106_103157,,CA,94103
Carmelina's Cafe,87,37.767664,Routine - Unscheduled,San Francisco,Low Risk,"(37.767664, -122.415456)",,65396_20170106,65396,1855 Folsom St,2017-01-06 00:00:00,Improper food storage,65396_20170106_103139,-122.415456,CA,94103
TANCCA,90,,Routine - Unscheduled,San Francisco,Moderate Risk,,,84381_20170106,84381,776 Broadway St,2017-01-06 00:00:00,Inadequate and inaccessible handwashing facilities,84381_20170106_103119,,CA,94133
Power Up Cafe,94,37.769827,Routine - Unscheduled,San Francisco,Low Risk,"(37.769827, -122.407242)",+14155835293,18330_20170106,18330,1001 BRANNAN St,2017-01-06 00:00:00,Improper food storage,18330_20170106_103139,-122.407242,CA,94103
Roadhouse Cafe,96,37.730959,Routine - Unscheduled,San Francisco,Low Risk,"(37.730959, -122.39194)",,30532_20170106,30532,5191 03rd St,2017-01-06 00:00:00,Permit license or inspection report not posted,30532_20170106_103156,-122.39194,CA,94124
Harrison Shell,90,37.773568,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.773568, -122.408712)",,62785_20170106,62785,1201 Harrison St,2017-01-06 00:00:00,Inadequate and inaccessible handwashing facilities,62785_20170106_103119,-122.408712,CA,94103
Blueprint Tap Room,83,,Routine - Unscheduled,San Francisco,High Risk,,,78018_20170106,78018,680 08th St Ste.#170,2017-01-06 00:00:00,High risk food holding temperature,78018_20170106_103103,,CA,94103
Reveille Coffee Co.,96,,Routine - Unscheduled,San Francisco,Moderate Risk,,+14155508336,76156_20170106,76156,4080 18th St,2017-01-06 00:00:00,Inadequately cleaned or sanitized food contact surfaces,76156_20170106_103124,,CA,94114
Philz Coffee,100,,Routine - Unscheduled,San Francisco,,,,82033_20170106,82033,1258 Minnesota St,2017-01-06 00:00:00,,,,CA,94107
ANCHOR OYSTER BAR INC.,93,37.759613,Routine - Unscheduled,San Francisco,High Risk,"(37.759613, -122.434817)",+14155433990,1294_20170106,1294,579 Castro St,2017-01-06 00:00:00,Unclean hands or improper use of gloves,1294_20170106_103102,-122.434817,CA,94114
L'acajou Bakery and Cafe,76,,Routine - Unscheduled,San Francisco,Moderate Risk,,,73840_20170105,73840,498 09th St Ste. C,2017-01-05 00:00:00,Inadequately cleaned or sanitized food contact surfaces,73840_20170105_103124,,CA,94103
BURGERMEISTER,86,37.768776,Routine - Unscheduled,San Francisco,Low Risk,"(37.768776, -122.429095)",+14155432874,2627_20170105,2627,Church St,2017-01-05 00:00:00,Improper storage use or identification of toxic substances,2627_20170105_103138,-122.429095,CA,94114
JIM GEORGIE'S DONUT,80,37.765262,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.765262, -122.41523)",+14155867112,4907_20170105,4907,2799 16th St,2017-01-05 00:00:00,Moderate risk vermin infestation,4907_20170105_103131,-122.41523,CA,94103
Lava Restaurant & Lounge,87,37.780728,Routine - Unscheduled,San Francisco,High Risk,"(37.780728, -122.396522)",,35855_20170105,35855,527 BRYANT St,2017-01-05 00:00:00,Unclean or unsanitary food contact surfaces,35855_20170105_103109,-122.396522,CA,94107
Andersen Bread,94,37.777053,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.777053, -122.416939)",+14150427100,64805_20170105,64805,1390 Market St Suite 110,2017-01-05 00:00:00,Moderate risk food holding temperature,64805_20170105_103120,-122.416939,CA,94102
Courtney's Produce II,92,37.767194,Routine - Unscheduled,San Francisco,Low Risk,"(37.767194, -122.435576)",+14155621850,4479_20170105,4479,101 CASTRO St,2017-01-05 00:00:00,Improper food labeling or menu misrepresentation,4479_20170105_103141,-122.435576,CA,94114
