business_name,yelp_rating,yelp_price,yelp_category,yelp_review_count,inspection_score,business_latitude,inspection_type,business_city,risk_category,business_location,business_phone_number,inspection_id,business_id,business_address,inspection_date,violation_description,violation_id,business_longitude,business_state,business_postal_code
100% Dessert Cafe,3.0,$,Asian Fusion,496,72,37.781988,Routine - Unscheduled,San Francisco,High Risk,"(37.781988, -122.486252)",,37633_20160519,37633,2512 Clement St,2016-05-19 00:00:00,High risk vermin infestation,37633_20160519_103114,-122.486252,CA,94121
1300 on Fillmore,3.5,$$$,Bars,1292,98,37.781548,Routine - Unscheduled,San Francisco,Low Risk,"(37.781548, -122.432317)",,34647_20160914,34647,1300 Fillmore St,2016-09-14 00:00:00,Improper food storage,34647_20160914_103139,-122.432317,CA,94115
1428 Haight,4.0,$$,American (Traditional),208,98,,Routine - Unscheduled,San Francisco,Low Risk,,+14155868484,79117_20150522,79117,1428 Haight St,2015-05-22 00:00:00,Wiping cloths not clean or properly stored or inadequate sanitizer,79117_20150522_103149,,CA,94117
1601 Bar & Kitchen,4.0,$$$,Asian Fusion,197,89,,Routine - Unscheduled,San Francisco,Moderate Risk,,,69691_20160311,69691,1601 HOWARD St,2016-03-11 00:00:00,Inadequately cleaned or sanitized food contact surfaces,69691_20160311_103124,,CA,94103
1760,4.0,$$$,American (New),582,96,,Routine - Unscheduled,San Francisco,Low Risk,,,75044_20161012,75044,1760 Polk St,2016-10-12 00:00:00,Unclean or degraded floors walls or ceilings,75044_20161012_103154,,CA,
17th & Noe Market,4.0,$$,Grocery,24,96,37.762638,Routine - Unscheduled,San Francisco,Low Risk,"(37.762638, -122.433242)",+14155866337,4474_20160912,4474,3900 17th St,2016-09-12 00:00:00,Improper food storage,4474_20160912_103139,-122.433242,CA,94114
18th Street Commissary,4.0,$,Coffee Roasteries,175,78,37.761965,Routine - Unscheduled,San Francisco,Low Risk,"(37.761965, -122.417948)",,27350_20160926,27350,3334 18th St,2016-09-26 00:00:00,Improper food storage,27350_20160926_103139,-122.417948,CA,94110
2001 THAI STICK,2.5,$$,Thai,388,81,37.788104,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.788104, -122.433694)",+14155886100,3910_20160621,3910,2001 FILLMORE St,2016-06-21 00:00:00,Moderate risk food holding temperature,3910_20160621_103120,-122.433694,CA,94115
20th Century Cafe,4.0,$$,Bakeries,290,90,,Routine - Unscheduled,San Francisco,Moderate Risk,,,73902_20160504,73902,198 Gough St,2016-05-04 00:00:00,Inadequately cleaned or sanitized food contact surfaces,73902_20160504_103124,,CA,94102
21 Taste House,3.5,$,Ramen,125,90,37.723461,Routine - Unscheduled,San Francisco,Low Risk,"(37.723461, -122.454226)",+14155932233,71286_20160831,71286,1109 Ocean Ave,2016-08-31 00:00:00,Unapproved or unmaintained equipment or utensils,71286_20160831_103144,-122.454226,CA,94112
21ST AMENDMENT BREWERY CAFE,3.5,$$,Breweries,2177,89,37.782364,Routine - Unscheduled,San Francisco,Low Risk,"(37.782364, -122.392662)",,3397_20150609,3397,563 02nd St,2015-06-09 00:00:00,Unclean or degraded floors walls or ceilings,3397_20150609_103154,-122.392662,CA,94107
23rd & Guerrero Market & Deli,5.0,$,Convenience Stores,11,98,37.753608,Routine - Unscheduled,San Francisco,Low Risk,"(37.753608, -122.422822)",+14155645020,39980_20160510,39980,3558 23rd St,2016-05-10 00:00:00,Unclean unmaintained or improperly constructed toilet facilities,39980_20160510_103152,-122.422822,CA,94110
24 HR CONVENIENCE MKT,2.5,$$,Grocery,544,100,37.776594,Routine - Unscheduled,San Francisco,,"(37.776594, -122.438144)",,7651_20150311,7651,793 DIVISADERO St,2015-03-11 00:00:00,,,-122.438144,CA,94117
24TH STREET CHEESE COMPANY,3.5,$$,Cheese Shops,134,98,37.751564,Routine - Unscheduled,San Francisco,Low Risk,"(37.751564, -122.429369)",,7457_20160203,7457,3893 24th St,2016-02-03 00:00:00,Food safety certificate or food handler card not available,7457_20160203_103157,-122.429369,CA,94114
